date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:45	70633/70633	---M-Z	200	added ('OK')	text/html	etag:%22113e9-680a1000-6a82673230bb0e97;gz%22	https://html.themewant.com/unipix/index-two.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/index-two.html	(from )
18:52:47	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-9434f88ca4ff284b;gz%22	https://html.themewant.com/robots.txt		(from )
18:52:49	11241/11241	---M-Z	200	added ('OK')	image/svg+xml	etag:%222be9-680a1000-f6c3a9260f949b74;gz%22	https://html.themewant.com/unipix/assets/images/fav.svg	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/images/fav.svg	(from https://html.themewant.com/unipix/index-two.html)
18:52:51	82527/82527	---M-Z	200	added ('OK')	text/css	etag:%221425f-680a1000-fb17b91437a2510c;gz%22	https://html.themewant.com/unipix/assets/css/plugins/animate.min.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/plugins/animate.min.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:53	570068/570068	---M-Z	200	added ('OK')	text/css	etag:%228b2d4-680a1000-5b770cb8613f4d03;gz%22	https://html.themewant.com/unipix/assets/css/plugins/fontawesome.min.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/plugins/fontawesome.min.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:54	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-680a1000-ed9d8980b179087;gz%22	https://html.themewant.com/unipix/assets/css/vendor/bootstrap.min.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:55	26126/26126	---M-Z	200	added ('OK')	text/css	etag:%22660e-680a1000-ecc8a1131bec031d;gz%22	https://html.themewant.com/unipix/assets/css/plugins/swiper.min.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/plugins/swiper.min.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:56	8399/8399	---M-Z	200	added ('OK')	text/css	etag:%2220cf-680a1000-3d66cf45d4f6d2c0;gz%22	https://html.themewant.com/unipix/assets/css/vendor/magnific-popup.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/vendor/magnific-popup.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:57	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-680a1000-e70b5fa7a012f502;gz%22	https://html.themewant.com/unipix/assets/css/vendor/metismenu.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/vendor/metismenu.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:58	4497/4497	---M-Z	200	added ('OK')	text/css	etag:%221191-680a1000-b0c320911d7ba11c;gz%22	https://html.themewant.com/unipix/assets/css/plugins/nice-select.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/plugins/nice-select.css	(from https://html.themewant.com/unipix/index-two.html)
18:52:59	37586/37586	---M-Z	200	added ('OK')	text/css	etag:%2292d2-680a1000-c5c8a0b91ae63b66;gz%22	https://html.themewant.com/unipix/assets/css/plugins/jquery-ui.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/plugins/jquery-ui.css	(from https://html.themewant.com/unipix/index-two.html)
18:53:01	511081/511081	---M-Z	200	added ('OK')	text/css	etag:%227cc69-680a1000-64abcdf6afb97c80;gz%22	https://html.themewant.com/unipix/assets/css/style.css	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/css/style.css	(from https://html.themewant.com/unipix/index-two.html)
18:53:01	69085/69085	---M-Z	200	added ('OK')	text/html	etag:%2210ddd-680a1000-42972b055aff9ae;gz%22	https://html.themewant.com/unipix/index.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/index.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:02	17397/17397	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243f5-680a1000-afbd4f314293adbe;gz%22	https://html.themewant.com/unipix/assets/images/logo/logo__two.svg	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/assets/images/logo/logo__two.svg	(from https://html.themewant.com/unipix/index-two.html)
18:53:04	58125/58125	---M-Z	200	added ('OK')	text/html	etag:%22e30d-680a1000-cb50e5268a444b60;gz%22	https://html.themewant.com/unipix/index-three.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/index-three.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:05	95323/95323	---M-Z	200	added ('OK')	text/html	etag:%221745b-680a1000-5ff6b59618e79487;gz%22	https://html.themewant.com/unipix/index-four.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/index-four.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:06	69968/69968	---M-Z	200	added ('OK')	text/html	etag:%2211150-680a1000-e743149fd0b91304;gz%22	https://html.themewant.com/unipix/index-five.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/index-five.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:07	44650/44650	---M-Z	200	added ('OK')	text/html	etag:%22ae6a-680a1000-a6933d87820be570;gz%22	https://html.themewant.com/unipix/about.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/about.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:08	33740/33740	---M-Z	200	added ('OK')	text/html	etag:%2283cc-680a1000-90512d56d6386278;gz%22	https://html.themewant.com/unipix/athletics.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/athletics.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:09	39254/39254	---M-Z	200	added ('OK')	text/html	etag:%229956-680a1000-92ccc9e0c928ddce;gz%22	https://html.themewant.com/unipix/faculty-sub.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/faculty-sub.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:10	54598/54598	---M-Z	200	added ('OK')	text/html	etag:%22d546-680a1000-c10e37b1ba3b5dc0;gz%22	https://html.themewant.com/unipix/faculty-sub-details.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/faculty-sub-details.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:12	39264/39264	---M-Z	200	added ('OK')	text/html	etag:%229960-680a1000-a9ee9b44f17dcf37;gz%22	https://html.themewant.com/unipix/faculty.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/faculty.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:13	29578/29578	---M-Z	200	added ('OK')	text/html	etag:%22738a-680a1000-cc2bf5309bb07f2b;gz%22	https://html.themewant.com/unipix/faculty-details.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/faculty-details.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:14	33900/33900	---M-Z	200	added ('OK')	text/html	etag:%22846c-680a1000-c8d06edee6d06e7a;gz%22	https://html.themewant.com/unipix/research.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/research.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:16	43837/43837	---M-Z	200	added ('OK')	text/html	etag:%22ab3d-680a1000-ebe24e6f7b6521b7;gz%22	https://html.themewant.com/unipix/academic.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/academic.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:17	41401/41401	---M-Z	200	added ('OK')	text/html	etag:%22a1b9-680a1000-5356b21bad2b9cd2;gz%22	https://html.themewant.com/unipix/admission.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/admission.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:18	42446/42446	---M-Z	200	added ('OK')	text/html	etag:%22a5ce-680a1000-7df8834ee41fbb19;gz%22	https://html.themewant.com/unipix/academic-area.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/academic-area.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:19	34134/34134	---M-Z	200	added ('OK')	text/html	etag:%228556-680a1000-1b0c238a066f18f7;gz%22	https://html.themewant.com/unipix/campus-life.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/campus-life.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:20	47501/47501	---M-Z	200	added ('OK')	text/html	etag:%22b98d-680a1000-8740fe5fa9e25dfc;gz%22	https://html.themewant.com/unipix/scholarship.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/scholarship.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:21	42057/42057	---M-Z	200	added ('OK')	text/html	etag:%22a449-680a1000-bfaa9085efef4d46;gz%22	https://html.themewant.com/unipix/tution-fee.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/tution-fee.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:22	43012/43012	---M-Z	200	added ('OK')	text/html	etag:%22a804-680a1000-a4df6a9d8bce3804;gz%22	https://html.themewant.com/unipix/alumni.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/alumni.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:23	55203/55203	---M-Z	200	added ('OK')	text/html	etag:%22d7a3-680a1000-d51ac853b263c74a;gz%22	https://html.themewant.com/unipix/program-single.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/program-single.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:24	37930/37930	---M-Z	200	added ('OK')	text/html	etag:%22942a-680a1000-fa13f9471b8a1dcd;gz%22	https://html.themewant.com/unipix/department-details.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/department-details.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:25	39198/39198	---M-Z	200	added ('OK')	text/html	etag:%22991e-680a1000-cdef07bfc1a5ce5c;gz%22	https://html.themewant.com/unipix/event.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/event.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:26	45929/45929	---M-Z	200	added ('OK')	text/html	etag:%22b369-680a1000-5a9e842b8820c4e9;gz%22	https://html.themewant.com/unipix/event-details.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/event-details.html	(from https://html.themewant.com/unipix/index-two.html)
18:53:27	34836/34836	---M-Z	200	added ('OK')	text/html	etag:%228814-680a1000-1faea00a09449150;gz%22	https://html.themewant.com/unipix/blog.html	C:/Users/HP/3D%20Objects/Desktop/university%20template/template/html.themewant.com/unipix/blog.html	(from https://html.themewant.com/unipix/index-two.html)
